序号,编码,父级编码,名称
1,1,,谷类及制品
2,11,1.0,小麦
3,12,1.0,稻米
4,13,1.0,玉米
5,14,1.0,大麦
6,15,1.0,小米、黄米
7,19,1.0,谷类其他
8,2,,薯类、淀粉及制品
9,21,2.0,薯类
10,22,2.0,淀粉类
11,3,,干豆类及制品
12,31,3.0,大豆
13,32,3.0,绿豆
14,33,3.0,赤豆
15,34,3.0,芸豆
16,35,3.0,蚕豆
17,39,3.0,干豆类其他
18,4,,蔬菜类及制品
19,41,4.0,根菜类
20,42,4.0,鲜豆类
21,43,4.0,茄果、瓜菜类
22,44,4.0,葱蒜类
23,45,4.0,嫩茎、叶、花菜类
24,46,4.0,水生蔬菜类
25,47,4.0,薯芋类
26,48,4.0,野生蔬菜类
27,5,,菌藻类
28,51,5.0,菌类
29,52,5.0,藻类
30,6,,水果类及制品
31,61,6.0,仁果类
32,62,6.0,核果类
33,63,6.0,浆果类
34,64,6.0,柑橘类
35,65,6.0,热带、亚热带水果
36,66,6.0,瓜果类
37,7,,坚果、种子类
38,71,7.0,树坚果
39,72,7.0,种子
40,8,,蓄肉类及制品
41,81,8.0,猪
42,82,8.0,牛
43,83,8.0,羊
44,84,8.0,驴
45,85,8.0,马
46,89,8.0,蓄肉类其他
47,9,,禽肉类及制品
48,91,9.0,鸡
49,92,9.0,鸭
50,93,9.0,鹅
51,94,9.0,火鸡
52,99,9.0,禽肉类其他
53,22,,食材
54,10,,乳类及制品
55,101,10.0,液态乳
56,102,10.0,奶粉
57,103,10.0,酸奶
58,104,10.0,奶酪
59,105,10.0,奶油
60,109,10.0,乳类其他
61,11,,蛋类及制品
62,111,11.0,鸡蛋
63,112,11.0,鸭蛋
64,113,11.0,鹅蛋
65,114,11.0,鹌鹑蛋
66,12,,鱼虾蟹贝类
67,121,12.0,鱼
68,122,12.0,虾
69,123,12.0,蟹
70,124,12.0,贝
71,129,12.0,鱼虾蟹贝类其他
72,13,,婴幼儿食品
73,131,13.0,婴儿配方食品
74,132,13.0,较大婴儿和幼儿配方食品
75,133,13.0,特殊医学用途婴儿配方食品
76,134,13.0,婴幼儿谷类辅助食品
77,135,13.0,婴幼儿罐装辅助食品
78,14,,小吃、甜饼
79,141,14.0,小吃
80,142,14.0,蛋糕、甜点
81,15,,速食食品
82,151,15.0,快餐食品
83,152,15.0,方便食品
84,153,15.0,休闲食品
85,16,,饮料类
86,161,16.0,碳酸饮料
87,162,16.0,果汁及果汁饮料
88,163,16.0,蔬菜汁饮料
89,164,16.0,含乳饮料
90,165,16.0,植物蛋白饮料
91,166,16.0,茶叶及茶饮料
92,167,16.0,固体饮料
93,168,16.0,棒冰、冰淇淋类
94,169,16.0,饮料类其他
95,17,,含酒精饮料
96,171,17.0,发酵酒
97,172,17.0,蒸馏酒
98,173,17.0,露酒（配制酒）
99,18,,糖、果脯和蜜饯、蜂蜜类
100,181,18.0,糖
101,182,18.0,糖果
102,183,18.0,蜜饯
103,184,18.0,蜂蜜
104,19,,油脂
105,191,19.0,动物油
106,192,19.0,植物油
107,20,,调味品类
108,201,20.0,酱油
109,202,20.0,醋
110,203,20.0,酱
111,204,20.0,腐乳
112,205,20.0,咸菜类
113,206,20.0,香辛料
114,207,20.0,盐、味精及其他调料
115,21,,其他
